Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Admiral Schofield,0.81,0.21,0.11,0.07,1.55,3.39
Bol Bol,1.08,0.22,0.19,0.16,2.07,4.73
Brandon Clarke,1.91,0.24,0.37,0.28,2.28,6.88
Bruno Fernando,1.1,0.3,0.07,0.12,1.07,3.41
Cam Reddish,1.33,0.33,0.27,0.15,1.58,4.93
Carsen Edwards,0.85,0.42,0.19,0.07,2.1,4.51
Chuma Okeke,0.66,0.28,0.18,0.09,0.81,2.84
Coby White,1.72,0.54,0.16,0.16,1.79,5.63
Darius Garland,2.03,0.42,0.17,0.16,1.75,5.81
DeAndre Hunter,2.29,0.22,0.16,0.21,1.51,5.67
Dylan Windler,1.02,0.28,0.23,0.1,1.48,4.1
Grant Williams,1.05,0.25,0.11,0.14,1.71,4.1
Ignas Brazdeikis,0.88,0.17,0.1,0.06,0.97,2.73
Isaiah Roby,0.81,0.18,0.07,0.1,0.76,2.53
Ja Morant,1.69,1.2,0.33,0.19,2.2,7.59
Jalen McDaniels,1.93,0.2,0.12,0.14,2.3,5.72
Jarrett Culver,1.99,0.32,0.24,0.13,2.26,6.23
Jaxson Hayes,2.5,0.17,0.39,0.33,1.72,7.15
Jaylen Hands,0.84,0.92,0.28,0.06,1.41,4.83
Jaylen Hoard,1.21,0.17,0.11,0.08,1.34,3.62
Jaylen Nowell,0.63,0.32,0.08,0.07,1.59,3.31
Jordan Bone,1.48,0.93,0.28,0.08,2.06,6.32
Keldon Johnson,1.54,0.21,0.21,0.1,1.92,5.01
Kevin PorterJr,0.65,0.18,0.13,0.08,0.86,2.55
Kris Wilkes,1.52,0.24,0.18,0.06,1.85,4.76
Louis King,0.87,0.2,0.2,0.07,1.2,3.35
Luguentz Dort,1.24,0.31,0.27,0.09,1.98,4.99
Matisse Thybulle,0.73,0.36,0.26,0.23,1.13,4.01
Mfiondu Kabengele,1.79,0.17,0.13,0.11,1.3,4.4
Miye Oni,1.26,0.34,0.15,0.07,1.76,4.45
Nassir Little,0.83,0.16,0.11,0.09,0.76,2.58
Naz Reid,1.06,0.15,0.11,0.08,0.88,2.95
Nickeil Alexander-Walker,1.95,0.38,0.34,0.08,2.17,6.32
Nicolas Claxton,1.69,0.14,0.09,0.12,1.49,4.36
PJ Washington,2.07,0.18,0.14,0.22,1.94,5.77
RJ Barrett,2.2,0.4,0.15,0.16,2.29,6.45
Romeo Langford,1.01,0.21,0.12,0.09,1.79,3.94
Rui Hachimura,1.93,0.18,0.12,0.14,1.74,5.12
Sagaba Konate,1.06,0.19,0.18,0.17,1.27,3.88
Tacko Fall,1.03,0.11,0.4,0.16,1.0,4.1
Terance Mann,0.65,0.32,0.09,0.11,0.79,2.65
Ty Jerome,0.72,0.88,0.26,0.07,1.31,4.49
Tyler Cook,1.1,0.15,0.09,0.12,1.1,3.28
Tyler Herro,1.05,0.35,0.17,0.11,1.65,4.27
Zion Williamson,3.62,0.25,0.48,0.37,2.4,9.66
